company,Year,Есть ли RAEX/RSPP/NKR рейтинг у компании?,Источник
петербургский тракторный завод,20,TRUE,Новости
петербургский тракторный завод,21,TRUE,Новости
петербургский тракторный завод,22,TRUE,Новости
петербургский тракторный завод,23,TRUE,Новости
петербургский тракторный завод,24,TRUE,Новости
петропавловск,20,TRUE,Новости
петрополь,20,TRUE,Новости
петрополь,21,TRUE,Новости
петрополь,22,TRUE,Новости
петрополь,23,TRUE,Новости
петрополь,24,TRUE,Новости
пивоваренная_компания_балтика,20,TRUE,Новости
питеравто,20,TRUE,Новости
питеравто,21,TRUE,Новости
питеравто,22,TRUE,Новости
питеравто,23,TRUE,Новости
питеравто,24,TRUE,Новости
по возрождение,20,TRUE,Новости
